source,httpMethod,path,mappedPath,normalizedPath,legacyFile,legacyClass,status,appliedRule,matchedRoutes,reason
"fastify","PATCH","/:id","/:id","/:id","","","无需迁移","","PATCH /:id (trader.ts:89)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/transcode/health","/transcode/health","/transcode/health","","","无需迁移","","GET /transcode/health (transcode.ts:41)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/transcode/jobs","/transcode/jobs","/transcode/jobs","","","无需迁移","","POST /transcode/jobs (transcode.ts:47)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/transcode/jobs/:jobId","/transcode/jobs/:jobId","/transcode/jobs/:jobid","","","无需迁移","","GET /transcode/jobs/:jobId (transcode.ts:75)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/transcode/jobs/:jobId/download","/transcode/jobs/:jobId/download","/transcode/jobs/:jobid/download","","","无需迁移","","GET /transcode/jobs/:jobId/download (transcode.ts:84)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/transcode/jobs/:jobId/cancel","/transcode/jobs/:jobId/cancel","/transcode/jobs/:jobid/cancel","","","无需迁移","","POST /transcode/jobs/:jobId/cancel (transcode.ts:107)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/transcode/jobs","/transcode/jobs","/transcode/jobs","","","无需迁移","","GET /transcode/jobs (transcode.ts:124)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/transcode/jobs/:jobId","/transcode/jobs/:jobId","/transcode/jobs/:jobid","","","无需迁移","","DELETE /transcode/jobs/:jobId (transcode.ts:130)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/","/","/","","","无需迁移","","GET / (user-agent-free-times.ts:17)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/remaining","/remaining","/remaining","","","无需迁移","","GET /remaining (user-agent-free-times.ts:50)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/","/","/","","","无需迁移","","POST / (user-agent-free-times.ts:75)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/consume","/consume","/consume","","","无需迁移","","POST /consume (user-agent-free-times.ts:110)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/reset","/reset","/reset","","","无需迁移","","POST /reset (user-agent-free-times.ts:148)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id","/:id","/:id","","","无需迁移","","DELETE /:id (user-agent-free-times.ts:171)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/llm-configs/templates","/llm-configs/templates","/llm-configs/templates","","","无需迁移","","GET /llm-configs/templates (user-llm-configs.ts:231)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/llm-configs","/llm-configs","/llm-configs","","","无需迁移","","GET /llm-configs (user-llm-configs.ts:238)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/llm-configs","/llm-configs","/llm-configs","","","无需迁移","","POST /llm-configs (user-llm-configs.ts:283)","当前仓库新增端点(无 Java 对应)"
"fastify","PUT","/llm-configs/:id","/llm-configs/:id","/llm-configs/:id","","","无需迁移","","PUT /llm-configs/:id (user-llm-configs.ts:328)","当前仓库新增端点(无 Java 对应)"
