category,old_table,new_table,old_source,new_file,match_type,normalized_old,normalized_new
partial,t_resource,edu_resource_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,resource,resource_category
partial,t_resource_category_relation,edu_resource_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,resource_category_relation,resource_category
partial,t_resource_tag,member_tags,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,business,resource_tag,member_tag
partial,t_topic,learn_topic_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\learn-extra-extended.ts,prefix,topic,topic_category
partial,t_topic_lesson,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,topic_lesson,lesson_homework
partial,t_topic_topic_category_relation,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,topic_topic_category_relation,category
partial,t_user_department,edu_user,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,user_department,user
partial,t_user_manager,edu_user,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,user_manager,user
partial,t_user_post,edu_user,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,user_post,user
partial,t_user_role,edu_user,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,user_role,user
partial,t_visit_log,sys_logininfor,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,business,visit_log,logininfor
partial,t_wrong_question,exam_questions,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,business,wrong_question,question
partial,agent_buy_scheduled_tasks,asks,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\community.ts,business,agent_buy_scheduled_task,ask
partial,agent_heat_stats,zhs_agent_category,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,business,agent_heat_stat,agent_category
partial,zhs_agent_buy,zhs_agent_category,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,business,agent_buy,agent_category
partial,zhs_agent_developer,zhs_agent_category,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,business,agent_developer,agent_category
partial,zhs_agent_examine,zhs_agent_category,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,business,agent_examine,agent_category
partial,zhs_agent_settlement,zhs_agent_category,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,business,agent_settlement,agent_category
partial,zhs_agent_withdrawal_detail,ai_ext_capabilities,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\ai-modules.ts,business,agent_withdrawal_detail,ai_ext_capabilitie
partial,config_info,sys_config,ry-sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,prefix,config_info,config
partial,config_info_aggr,sys_config,ry-sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,prefix,config_info_aggr,config
partial,config_info_gray,sys_config,ry-sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,prefix,config_info_gray,config
partial,config_info_beta,sys_config,ry-sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,prefix,config_info_beta,config
partial,config_info_tag,sys_config,ry-sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,prefix,config_info_tag,config
partial,config_tags_relation,sys_config,ry-sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,prefix,config_tags_relation,config
partial,tenant_capacity,tenants,ry-sql,G:\IHUI-AI\packages\database\src\schema\tenant.ts,prefix,tenant_capacity,tenant
partial,tenant_info,tenants,ry-sql,G:\IHUI-AI\packages\database\src\schema\tenant.ts,prefix,tenant_info,tenant
partial,zhs_popular_courses,zhs_course,zhs-java-@Table,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,business,popular_course,course
missing,circle_dynamic,,edu-init_database.sql,,,dynamic,
missing,exam_sign_up,,edu-init_database.sql,,,sign_up,
missing,learn_homework,,edu-init_database.sql,,,homework,
missing,learn_homework_record,,edu-init_database.sql,,,homework_record,
missing,learn_sign_up,,edu-init_database.sql,,,sign_up,
missing,live_channel_lecturer,,edu-init_database.sql,,,channel_lecturer,
missing,live_subscribe,,edu-init_database.sql,,,subscribe,
missing,live_tencent_cloud_live_stream,,edu-init_database.sql,,,tencent_cloud_live_stream,
missing,resource_resource_download,,edu-init_database.sql,,,resource_download,
missing,resource_resource_search_record,,edu-init_database.sql,,,resource_search_record,
missing,search_content,,edu-init_database.sql,,,content,
missing,t_certificate,,edu-init_database.sql,,,certificate,
missing,t_certificate_template,,edu-init_database.sql,,,certificate_template,
missing,t_channel_lecturer,,edu-init_database.sql,,,channel_lecturer,
missing,t_check_in,,edu-init_database.sql,,,check_in,
missing,t_check_in_record,,edu-init_database.sql,,,check_in_record,
missing,t_company_department_relation,,edu-init_database.sql,,,company_department_relation,
missing,t_content,,edu-init_database.sql,,,content,
missing,t_department,,edu-init_database.sql,,,department,
missing,t_department_department,,edu-init_database.sql,,,department_department,
missing,t_dynamic,,edu-init_database.sql,,,dynamic,
missing,t_favorite,,edu-init_database.sql,,,favorite,
missing,t_follow,,edu-init_database.sql,,,follow,
missing,t_homework,,edu-init_database.sql,,,homework,
missing,t_homework_record,,edu-init_database.sql,,,homework_record,
missing,t_lecturer,,edu-init_database.sql,,,lecturer,
missing,t_like,,edu-init_database.sql,,,like,
missing,t_manager,,edu-init_database.sql,,,manager,
missing,t_private_letter,,edu-init_database.sql,,,private_letter,
missing,t_resource_download,,edu-init_database.sql,,,resource_download,
missing,t_resource_search_record,,edu-init_database.sql,,,resource_search_record,
missing,t_sensitive_word,,edu-init_database.sql,,,sensitive_word,
missing,t_sign_up,,edu-init_database.sql,,,sign_up,
missing,t_subscribe,,edu-init_database.sql,,,subscribe,
missing,t_template,,edu-init_database.sql,,,template,
missing,t_tencent_cloud_live_stream,,edu-init_database.sql,,,tencent_cloud_live_stream,
missing,t_watch,,edu-init_database.sql,,,watch,
missing,zhs_developer_link,,zhs-py-sql,,,developer_link,
missing,group_capacity,,ry-sql,,,group_capacity,
missing,his_config_info,,ry-sql,,,his_config_info,
missing,zhs_exchange_rate,,zhs-java-@Table,,,exchange_rate,
missing,zhs_withdrawal_flow,,zhs-java-@Table,,,withdrawal_flow,
missing,zhs_banner_carousel,,zhs-java-@Table,,,banner_carousel,
missing,zhs_knowledge_planet,,zhs-java-@Table,,,knowledge_planet,
missing,zhs_operate_token_flow,,zhs-java-@Table,,,operate_token_flow,
missing,zhs_product,,zhs-java-@Table,,,product,
new,,sys_menu,,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,,menu,
new,,sys_job_log,,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,,job_log,
new,,sys_dept,,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,,dept,
new,,sys_dict_type,,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,,dict_type,
new,,sys_dict_data,,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,,dict_data,
new,,sys_operlog,,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,,operlog,
new,,audit_logs,,G:\IHUI-AI\packages\database\src\schema\audit.ts,,audit_log,
new,,search_history,,G:\IHUI-AI\packages\database\src\schema\audit.ts,,history,
new,,auth_identities,,G:\IHUI-AI\packages\database\src\schema\auth-identity.ts,,auth_identitie,
new,,plans,,G:\IHUI-AI\packages\database\src\schema\billing.ts,,plan,
new,,payments,,G:\IHUI-AI\packages\database\src\schema\billing.ts,,payment,
new,,aibot_sites,,G:\IHUI-AI\packages\database\src\schema\bot-sites.ts,,aibot_site,
new,,simple_bot_configs,,G:\IHUI-AI\packages\database\src\schema\bot-sites.ts,,simple_bot_config,
new,,canary_configs,,G:\IHUI-AI\packages\database\src\schema\canary.ts,,canary_config,
new,,canary_audit_logs,,G:\IHUI-AI\packages\database\src\schema\canary.ts,,canary_audit_log,
new,,chat_conversations,,G:\IHUI-AI\packages\database\src\schema\chat.ts,,chat_conversation,
new,,feedbacks,,G:\IHUI-AI\packages\database\src\schema\comments.ts,,feedback,
new,,identity_proportions,,G:\IHUI-AI\packages\database\src\schema\commission.ts,,identity_proportion,
new,,content_generation_templates,,G:\IHUI-AI\packages\database\src\schema\content-generation.ts,,generation_template,
new,,help_categories,,G:\IHUI-AI\packages\database\src\schema\content.ts,,help_categorie,
new,,docs,,G:\IHUI-AI\packages\database\src\schema\content.ts,,doc,
new,,edu_trade,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,trade,
new,,edu_learn_category,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,learn_category,
new,,edu_lesson_topic,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,lesson_topic,
new,,edu_exam_paper_rule,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,exam_paper_rule,
new,,edu_circle_category,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,circle_category,
new,,edu_ask_category,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,ask_category,
new,,edu_live_category,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,live_category,
new,,edu_index_config,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,index_config,
new,,edu_index_category,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,index_category,
new,,edu_notification_device,,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,,notification_device,
